Date,Time,open,high,low,close,volume
2020-05-13,07:38:35Z,2847.5,2848.0,2847.0,2847.75,-1
2020-05-13,07:38:40Z,2847.5,2848.0,2847.0,2847.75,-1
2020-05-13,07:38:45Z,2847.75,2848.25,2847.5,2848.0,-1
2020-05-13,07:38:50Z,2847.75,2848.25,2847.5,2848.0,-1
2020-05-13,07:38:55Z,2847.5,2848.0,2847.25,2847.75,-1
2020-05-13,07:39:00Z,2847.75,2848.25,2847.5,2848.0,-1
2020-05-13,07:39:05Z,2848.0,2848.25,2847.75,2848.25,-1
2020-05-13,07:39:10Z,2848.0,2848.25,2847.75,2848.25,-1
2020-05-13,07:39:15Z,2848.25,2848.5,2847.75,2848.5,-1
2020-05-13,07:39:20Z,2847.75,2848.5,2847.5,2848.25,-1
2020-05-13,07:39:25Z,2847.5,2848.0,2847.5,2848.0,-1
2020-05-13,07:39:30Z,2847.25,2847.75,2847.0,2847.5,-1
2020-05-13,07:39:35Z,2847.0,2847.75,2847.0,2847.25,-1
2020-05-13,07:39:40Z,2846.75,2847.25,2846.5,2847.0,-1
2020-05-13,07:39:45Z,2846.75,2847.25,2846.5,2847.0,-1
2020-05-13,07:39:50Z,2847.0,2847.75,2846.75,2847.25,-1
2020-05-13,07:39:55Z,2847.5,2847.75,2847.25,2847.75,-1
2020-05-13,07:40:00Z,2847.5,2848.0,2847.25,2847.75,-1
2020-05-13,07:40:05Z,2847.0,2847.75,2846.5,2847.25,-1
2020-05-13,07:40:10Z,2847.0,2847.5,2846.5,2847.25,-1
2020-05-13,07:40:15Z,2846.5,2847.25,2846.5,2846.75,-1
2020-05-13,07:40:20Z,2846.5,2847.0,2846.5,2846.75,-1
2020-05-13,07:40:25Z,2846.5,2847.0,2846.25,2846.75,-1
2020-05-13,07:40:30Z,2846.5,2846.75,2846.0,2846.75,-1
2020-05-13,07:40:35Z,2846.25,2846.75,2846.0,2846.5,-1
2020-05-13,07:40:40Z,2846.5,2846.75,2846.25,2846.75,-1
2020-05-13,07:40:45Z,2846.75,2847.25,2846.5,2847.0,-1
2020-05-13,07:40:50Z,2847.5,2848.0,2847.0,2847.75,-1
2020-05-13,07:40:55Z,2847.75,2848.25,2847.5,2848.0,-1
2020-05-13,07:41:00Z,2847.25,2848.25,2847.0,2847.5,-1
2020-05-13,07:41:05Z,2846.75,2847.25,2846.5,2847.0,-1
2020-05-13,07:41:10Z,2846.5,2847.0,2846.5,2846.75,-1
2020-05-13,07:41:15Z,2846.5,2847.0,2846.5,2847.0,-1
2020-05-13,07:41:20Z,2846.5,2847.0,2846.5,2846.75,-1
2020-05-13,07:41:25Z,2846.5,2847.0,2846.25,2846.75,-1
2020-05-13,07:41:30Z,2846.75,2847.0,2846.25,2847.0,-1
2020-05-13,07:41:35Z,2847.0,2847.5,2846.75,2847.25,-1
2020-05-13,07:41:40Z,2847.25,2847.5,2847.0,2847.5,-1
2020-05-13,07:41:45Z,2847.25,2847.5,2847.0,2847.5,-1
2020-05-13,07:41:50Z,2847.0,2847.5,2846.75,2847.25,-1
2020-05-13,07:41:55Z,2846.75,2847.25,2846.5,2847.25,-1
2020-05-13,07:42:00Z,2847.0,2847.5,2847.0,2847.25,-1
2020-05-13,07:42:05Z,2847.5,2848.0,2847.25,2847.75,-1
2020-05-13,07:42:10Z,2847.25,2848.0,2847.0,2847.5,-1
2020-05-13,07:42:15Z,2847.25,2847.75,2847.0,2847.5,-1
2020-05-13,07:42:20Z,2847.25,2848.0,2846.75,2847.5,-1
2020-05-13,07:42:25Z,2847.5,2848.0,2847.5,2847.75,-1
2020-05-13,07:42:30Z,2847.75,2848.25,2847.5,2848.0,-1
2020-05-13,07:42:35Z,2847.75,2848.25,2847.5,2848.0,-1
2020-05-13,07:42:40Z,2847.5,2848.0,2847.5,2848.0,-1
2020-05-13,07:42:45Z,2849.25,2850.0,2847.75,2849.5,-1
2020-05-13,07:42:50Z,2849.25,2849.75,2849.0,2849.5,-1
2020-05-13,07:42:55Z,2849.0,2849.5,2848.75,2849.25,-1
2020-05-13,07:43:00Z,2848.75,2849.5,2848.5,2849.0,-1
2020-05-13,07:43:05Z,2849.0,2849.5,2848.75,2849.25,-1
2020-05-13,07:43:10Z,2849.5,2850.0,2849.0,2850.0,-1
2020-05-13,07:43:15Z,2850.0,2850.5,2849.75,2850.25,-1
2020-05-13,07:43:20Z,2850.25,2850.5,2850.0,2850.5,-1
2020-05-13,07:43:25Z,2850.0,2850.5,2850.0,2850.25,-1
2020-05-13,07:43:30Z,2850.0,2850.5,2850.0,2850.25,-1
2020-05-13,07:43:35Z,2850.5,2851.25,2850.25,2850.75,-1
2020-05-13,07:43:40Z,2851.0,2851.75,2850.75,2851.25,-1
2020-05-13,07:43:45Z,2852.0,2852.25,2851.25,2852.25,-1
2020-05-13,07:43:50Z,2851.75,2852.25,2851.5,2852.0,-1
2020-05-13,07:43:55Z,2851.75,2852.25,2851.75,2852.0,-1
2020-05-13,07:44:00Z,2852.25,2852.5,2852.0,2852.5,-1
2020-05-13,07:44:05Z,2852.0,2852.5,2851.75,2852.25,-1
2020-05-13,07:44:10Z,2852.0,2852.75,2851.75,2852.5,-1
2020-05-13,07:44:15Z,2852.5,2852.75,2852.25,2852.75,-1
2020-05-13,07:44:20Z,2852.75,2853.0,2852.5,2853.0,-1
2020-05-13,07:44:25Z,2852.75,2853.0,2852.5,2853.0,-1
2020-05-13,07:44:30Z,2852.75,2853.0,2852.5,2853.0,-1
2020-05-13,07:44:35Z,2852.75,2853.0,2852.75,2853.0,-1
2020-05-13,07:44:40Z,2852.75,2853.5,2852.75,2853.0,-1
2020-05-13,07:44:45Z,2853.0,2853.25,2853.0,2853.25,-1
2020-05-13,07:44:50Z,2853.0,2853.5,2852.75,2853.25,-1
2020-05-13,07:44:55Z,2853.5,2854.25,2853.25,2853.75,-1
2020-05-13,07:45:00Z,2853.25,2854.0,2853.0,2853.5,-1
2020-05-13,07:45:05Z,2852.75,2853.25,2852.5,2853.0,-1
2020-05-13,07:45:10Z,2852.5,2852.75,2852.25,2852.75,-1
2020-05-13,07:45:15Z,2852.5,2853.0,2851.75,2852.75,-1
2020-05-13,07:45:20Z,2853.0,2853.5,2852.5,2853.25,-1
2020-05-13,07:45:25Z,2853.0,2853.5,2852.5,2853.25,-1
2020-05-13,07:45:30Z,2853.0,2853.5,2852.5,2853.25,-1
2020-05-13,07:45:35Z,2852.75,2853.5,2852.25,2853.0,-1
2020-05-13,07:45:40Z,2852.25,2852.75,2852.25,2852.75,-1
2020-05-13,07:45:45Z,2852.25,2852.75,2852.0,2852.5,-1
2020-05-13,07:45:50Z,2852.25,2852.75,2852.0,2852.5,-1
2020-05-13,07:45:55Z,2852.0,2852.5,2851.5,2852.25,-1
2020-05-13,07:46:00Z,2851.75,2852.5,2851.5,2852.0,-1
2020-05-13,07:46:05Z,2851.5,2852.0,2851.25,2851.75,-1
2020-05-13,07:46:10Z,2851.75,2852.25,2851.25,2852.0,-1
2020-05-13,07:46:15Z,2852.25,2853.0,2851.75,2852.5,-1
2020-05-13,07:46:20Z,2852.5,2853.25,2852.5,2852.75,-1
2020-05-13,07:46:25Z,2852.25,2852.75,2852.0,2852.5,-1
2020-05-13,07:46:30Z,2852.0,2852.5,2851.75,2852.5,-1
2020-05-13,07:46:35Z,2852.25,2852.75,2852.0,2852.5,-1
2020-05-13,07:46:40Z,2852.5,2853.0,2852.25,2852.75,-1
2020-05-13,07:46:45Z,2852.5,2853.0,2852.5,2852.75,-1
2020-05-13,07:46:50Z,2852.75,2853.25,2852.5,2853.0,-1
2020-05-13,07:46:55Z,2852.75,2853.25,2852.5,2853.0,-1
2020-05-13,07:47:00Z,2853.25,2853.5,2852.75,2853.5,-1
2020-05-13,07:47:05Z,2853.5,2854.0,2853.25,2853.75,-1
2020-05-13,07:47:10Z,2853.25,2853.75,2853.25,2853.5,-1
2020-05-13,07:47:15Z,2853.25,2853.75,2852.75,2853.5,-1
2020-05-13,07:47:20Z,2853.0,2853.5,2852.75,2853.25,-1
2020-05-13,07:47:25Z,2852.75,2853.5,2852.5,2853.0,-1
2020-05-13,07:47:30Z,2852.5,2853.0,2852.25,2852.75,-1
2020-05-13,07:47:35Z,2852.25,2852.75,2852.25,2852.5,-1
2020-05-13,07:47:40Z,2852.25,2852.75,2852.25,2852.5,-1
2020-05-13,07:47:45Z,2852.25,2852.75,2852.25,2852.75,-1
2020-05-13,07:47:50Z,2852.25,2852.75,2852.25,2852.5,-1
2020-05-13,07:47:55Z,2852.25,2852.75,2852.0,2852.5,-1
2020-05-13,07:48:00Z,2852.25,2852.5,2852.0,2852.5,-1
2020-05-13,07:48:05Z,2852.25,2852.75,2852.0,2852.5,-1
2020-05-13,07:48:10Z,2852.0,2852.5,2852.0,2852.25,-1
2020-05-13,07:48:15Z,2852.0,2852.5,2851.75,2852.25,-1
2020-05-13,07:48:20Z,2852.25,2852.5,2852.0,2852.5,-1
2020-05-13,07:48:25Z,2852.25,2852.75,2852.0,2852.5,-1
2020-05-13,07:48:30Z,2852.25,2852.75,2852.25,2852.5,-1
2020-05-13,07:48:35Z,2852.25,2852.75,2852.25,2852.5,-1
2020-05-13,07:48:40Z,2852.5,2853.0,2852.25,2852.75,-1
2020-05-13,07:48:45Z,2852.75,2853.25,2852.75,2853.0,-1
2020-05-13,07:48:50Z,2853.0,2853.25,2852.75,2853.25,-1
2020-05-13,07:48:55Z,2853.25,2853.75,2852.75,2853.5,-1
2020-05-13,07:49:00Z,2853.25,2853.75,2853.0,2853.5,-1
2020-05-13,07:49:05Z,2852.75,2853.5,2852.0,2853.0,-1
2020-05-13,07:49:10Z,2852.0,2852.75,2851.75,2852.25,-1
2020-05-13,07:49:15Z,2852.25,2853.0,2852.0,2852.5,-1
2020-05-13,07:49:20Z,2852.25,2852.5,2852.0,2852.5,-1
2020-05-13,07:49:25Z,2852.25,2852.5,2852.0,2852.5,-1
2020-05-13,07:49:30Z,2852.25,2852.75,2852.0,2852.5,-1
2020-05-13,07:49:35Z,2852.25,2852.75,2852.0,2852.5,-1
2020-05-13,07:49:40Z,2852.5,2853.0,2852.25,2852.75,-1
2020-05-13,07:49:45Z,2852.75,2853.25,2852.75,2853.0,-1
2020-05-13,07:49:50Z,2853.0,2853.25,2853.0,2853.25,-1
2020-05-13,07:49:55Z,2853.0,2853.5,2853.0,2853.25,-1
2020-05-13,07:50:00Z,2853.0,2853.75,2852.75,2853.25,-1
2020-05-13,07:50:05Z,2853.0,2853.5,2853.0,2853.25,-1
2020-05-13,07:50:10Z,2853.0,2853.5,2852.75,2853.25,-1
2020-05-13,07:50:15Z,2853.0,2853.5,2852.75,2853.25,-1
2020-05-13,07:50:20Z,2853.25,2853.5,2853.0,2853.5,-1
2020-05-13,07:50:25Z,2853.0,2853.5,2852.5,2853.25,-1
2020-05-13,07:50:30Z,2852.75,2853.25,2852.75,2853.0,-1
2020-05-13,07:50:35Z,2852.5,2853.0,2852.25,2853.0,-1
2020-05-13,07:50:40Z,2852.25,2852.75,2852.0,2852.5,-1
2020-05-13,07:50:45Z,2852.25,2852.75,2852.25,2852.75,-1
2020-05-13,07:50:50Z,2852.75,2853.0,2852.25,2853.0,-1
2020-05-13,07:50:55Z,2852.75,2853.25,2852.75,2853.0,-1
2020-05-13,07:51:00Z,2853.25,2853.75,2852.75,2853.5,-1
2020-05-13,07:51:05Z,2853.5,2854.0,2853.25,2853.75,-1
2020-05-13,07:51:10Z,2853.75,2854.0,2853.5,2854.0,-1
2020-05-13,07:51:15Z,2853.75,2854.25,2853.75,2854.0,-1
2020-05-13,07:51:20Z,2853.5,2854.25,2853.5,2853.75,-1
2020-05-13,07:51:25Z,2853.75,2854.25,2853.5,2854.0,-1
2020-05-13,07:51:30Z,2854.25,2854.5,2854.0,2854.5,-1
2020-05-13,07:51:35Z,2854.5,2855.0,2854.25,2854.75,-1
2020-05-13,07:51:40Z,2854.0,2854.75,2854.0,2854.5,-1
2020-05-13,07:51:45Z,2854.0,2854.25,2854.0,2854.25,-1
2020-05-13,07:51:50Z,2854.0,2854.25,2853.75,2854.25,-1
2020-05-13,07:51:55Z,2853.75,2854.25,2853.75,2854.25,-1
2020-05-13,07:52:00Z,2854.0,2854.5,2853.75,2854.25,-1
2020-05-13,07:52:05Z,2854.25,2854.75,2854.0,2854.5,-1
2020-05-13,07:52:10Z,2854.25,2854.75,2854.25,2854.75,-1
2020-05-13,07:52:15Z,2854.5,2854.75,2854.5,2854.75,-1
2020-05-13,07:52:20Z,2854.5,2855.25,2854.5,2855.0,-1
2020-05-13,07:52:25Z,2855.25,2855.75,2854.75,2855.5,-1
